71.8	6.22	0.261	4.49	327	0.192	0.00096	7.17	0.00211	0.000000369	2.68E-11	2.04E-11	4.19E-22	1.19E-14	2.28E-22	1
71.2	6.48	-0.607	4.3	308	0.206	0.000808	7.33	0.00209	0.000000317	2.4E-11	2.47E-11	1.85E-22	6.3E-15	5.74E-22	1
80.1	20	-0.61	2.26	181	0.247	0.00106	7.23	0.00259	7.72E-08	8.2E-11	1.46E-10	-1.51E-20	-3.33E-14	4.95E-21	1
52.7	5.38	0.0573	2.41	175	0.259	0.00192	6.58	0.00264	3.49E-09	1.52E-10	6.9E-11	-6.41E-21	-2.81E-16	-2.97E-21	1
57.1	6	0.00263	2.47	207	0.245	0.00151	6.79	0.00247	2.65E-08	1.53E-10	3.67E-11	-2.72E-21	-2.02E-15	-3.84E-22	1
65.9	6.4	0.213	2.69	283	0.22	0.00124	6.93	0.00211	3.75E-08	7.43E-11	1.83E-11	-6.43E-22	2.46E-16	-2.01E-22	1
64.7	5.2	0.114	2.65	260	0.222	0.00123	6.91	0.00212	3.93E-09	6.92E-11	1.46E-11	-4.64E-22	-1.98E-16	4.68E-23	1
65.9	5.07	0.096	2.37	245	0.22	0.00123	6.91	0.00208	3.51E-08	5.29E-11	9.63E-12	-2.12E-22	-3.82E-17	4.65E-23	1
67.4	6.24	0.343	2.55	233	0.219	0.00117	7.01	0.00211	0.000000103	1.79E-11	9.93E-12	-1.18E-22	-8.13E-16	-6.01E-23	1
65.4	10.7	1.29	5.88	838	0.149	0.00116	6.84	0.00181	0.000000277	1.09E-11	1.67E-11	2.25E-22	-5.91E-15	-2.21E-23	1
70.1	5.64	0.267	2.73	226	0.216	0.00115	7.01	0.00203	6.33E-08	1.25E-11	7.91E-12	-7.19E-23	-1.23E-15	-3.18E-23	1
66.7	11.4	1.32	5.79	828	0.141	0.00116	6.83	0.00179	0.000000272	1.34E-11	1.5E-11	2.04E-22	-6.05E-15	-5.78E-23	0
72.8	5.66	0.294	2.47	207	0.224	0.00115	7	0.00199	7.87E-08	1.15E-11	7E-12	-5.92E-23	-1.23E-15	-2.13E-23	0
73.6	7.34	-0.618	4.56	358	0.213	0.000925	7.23	0.00191	0.000000213	1.09E-11	9.27E-12	7.52E-23	2.47E-15	-5.54E-23	0
65.8	16.2	0.809	4.83	486	0.216	0.00136	6.77	0.00185	3.26E-08	4.53E-11	1.89E-11	-1.84E-22	4.9E-16	-5.22E-22	0
72.7	5.61	-0.568	3.68	218	0.235	0.00155	6.68	0.00191	3.96E-08	5E-11	2E-11	-6.29E-22	3.32E-15	8.14E-23	0
74	6.38	-0.631	3.97	213	0.242	0.0016	6.68	0.00188	3.34E-08	4.73E-11	1.44E-11	-3.75E-22	2E-15	1.57E-24	0
76.8	7.16	-0.556	3.68	226	0.24	0.00159	6.69	0.00183	3.06E-08	3.75E-11	1.4E-11	-3.17E-22	1.84E-15	-4.66E-23	0
69.8	15.1	0.667	5.54	534	0.19	0.00128	6.78	0.00173	1.81E-09	2.69E-11	9.34E-12	1.41E-22	-3.35E-17	-4.73E-23	0
78	7.52	-0.536	3.86	250	0.236	0.00141	6.83	0.00181	4.14E-08	2.23E-11	1.77E-11	-2.5E-22	2.48E-15	-2.47E-22	0
77.2	6.91	-0.578	4.42	247	0.228	0.00145	6.74	0.0018	3.64E-09	6.07E-11	8.46E-12	-1.64E-22	2.02E-16	9.95E-23	0
71.1	13.4	1.12	4.58	445	0.172	0.00109	6.91	0.00188	0.000000577	4.53E-11	8.82E-12	-1.56E-22	-3.81E-15	-8.19E-23	0
79.8	7.09	-0.262	3.61	268	0.228	0.00144	6.77	0.00176	2.94E-08	2.99E-11	1E-11	-1.51E-22	1.19E-15	-8.59E-23	0
91	14.3	0.269	3.31	615	0.173	0.000651	7.47	0.00136	0.000000032	1.89E-11	5.98E-12	4.54E-23	-1.97E-17	4.43E-23	0
90.8	13.5	0.468	4.25	618	0.168	0.000671	7.44	0.00137	5.95E-08	1.29E-11	5.55E-12	1.71E-23	-6.62E-17	4.37E-23	0
90.8	13.4	0.6	4.65	595	0.166	0.000695	7.39	0.00135	3.69E-08	1.73E-11	5.47E-12	-5.27E-24	3.06E-16	5.28E-23	0
90.2	12.4	0.15	3.91	604	0.17	0.000773	7.28	0.00136	4.02E-08	1.38E-11	7.44E-12	-5.3E-23	7.93E-16	5.36E-23	0
90.5	12.7	0.228	3.91	561	0.171	0.00085	7.21	0.00138	4.37E-08	1.51E-11	5.82E-12	-5.28E-23	8.97E-16	1.38E-23	0
91.7	12.4	0.287	4.04	526	0.165	0.000865	7.16	0.0014	4.65E-08	1.58E-11	4.07E-12	-2.91E-23	8.21E-16	-1.5E-23	0
92.5	12	0.402	4.28	500	0.164	0.000858	7.15	0.00138	3.09E-08	1.51E-11	2.83E-12	-1.29E-23	4.92E-16	-1.33E-23	0
94.6	11.6	0.287	4.15	524	0.159	0.000985	7.02	0.00136	8.9E-09	9.41E-12	2.66E-12	-1.03E-23	2.46E-16	-8.43E-24	0
94	11.5	0.262	3.95	517	0.159	0.00105	6.93	0.00137	3.65E-09	8.56E-12	2.14E-12	-9.04E-24	1.1E-16	-1.35E-24	0
96.7	12.5	0.417	3.9	591	0.152	0.000996	6.98	0.00132	8.47E-09	4.95E-12	1.92E-12	-4.62E-24	1.51E-16	-3.7E-24	0
96.1	13.5	0.768	4.08	596	0.151	0.00102	6.95	0.00132	2.16E-09	5.78E-12	1.45E-12	-3.56E-24	6.44E-17	-2.26E-24	0
